date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:57:19	34388/34388	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2265ceff2b-8654%22	https://nhat9.vip/webfonts/fa-regular-400.eot?	C:/Users/Administrator/Desktop/vippro/nhat9.vip/webfonts/fa-regular-400d41d.eot	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:19	13580/13580	---M--	200	added ('OK')	font/woff2	etag:%2265ceff2b-350c%22	https://nhat9.vip/webfonts/fa-regular-400.woff2	C:/Users/Administrator/Desktop/vippro/nhat9.vip/webfonts/fa-regular-400.woff2	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:19	16804/16804	---M--	200	added ('OK')	font/woff	etag:%2265ceff2b-41a4%22	https://nhat9.vip/webfonts/fa-regular-400.woff	C:/Users/Administrator/Desktop/vippro/nhat9.vip/webfonts/fa-regular-400.woff	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:20	34092/34092	---M--	200	added ('OK')	application/octet-stream	etag:%2265ceff2b-852c%22	https://nhat9.vip/webfonts/fa-regular-400.ttf	C:/Users/Administrator/Desktop/vippro/nhat9.vip/webfonts/fa-regular-400.ttf	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:20	144451/144451	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265ceff2b-23443%22	https://nhat9.vip/webfonts/fa-regular-400.svg	C:/Users/Administrator/Desktop/vippro/nhat9.vip/webfonts/fa-regular-400.svg	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:20	192116/192116	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2265ceff2b-2ee74%22	https://nhat9.vip/webfonts/fa-solid-900.eot	C:/Users/Administrator/Desktop/vippro/nhat9.vip/webfonts/fa-solid-900.eot	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:20	192116/192116	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2265ceff2b-2ee74%22	https://nhat9.vip/webfonts/fa-solid-900.eot?	C:/Users/Administrator/Desktop/vippro/nhat9.vip/webfonts/fa-solid-900d41d.eot	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:21	75440/75440	---M--	200	added ('OK')	font/woff2	etag:%2265ceff2b-126b0%22	https://nhat9.vip/webfonts/fa-solid-900.woff2	C:/Users/Administrator/Desktop/vippro/nhat9.vip/webfonts/fa-solid-900.woff2	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:21	98020/98020	---M--	200	added ('OK')	font/woff	etag:%2265ceff2b-17ee4%22	https://nhat9.vip/webfonts/fa-solid-900.woff	C:/Users/Administrator/Desktop/vippro/nhat9.vip/webfonts/fa-solid-900.woff	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:21	191832/191832	---M--	200	added ('OK')	application/octet-stream	etag:%2265ceff2b-2ed58%22	https://nhat9.vip/webfonts/fa-solid-900.ttf	C:/Users/Administrator/Desktop/vippro/nhat9.vip/webfonts/fa-solid-900.ttf	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:21	839388/839388	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265ceff2b-ccedc%22	https://nhat9.vip/webfonts/fa-solid-900.svg	C:/Users/Administrator/Desktop/vippro/nhat9.vip/webfonts/fa-solid-900.svg	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:21	21489/21489	---M--	200	added ('OK')	image/jpeg	etag:%2265ceff2b-53f1%22	https://nhat9.vip/images/bg.jpg?v=1.5.6	C:/Users/Administrator/Desktop/vippro/nhat9.vip/images/bg74e5.jpg	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:22	3414/3414	---M--	200	added ('OK')	image/webp	etag:%2266a097e6-d56%22	https://nhat9.vip/images/bg-form.webp?v=1.5.6	C:/Users/Administrator/Desktop/vippro/nhat9.vip/images/bg-form74e5.webp	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:22	153/153	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Dec%202024%2017:57:22%20GMT	https://nhat9.vip/images/icon-phone.png?v=1.5.6	C:/Users/Administrator/Desktop/vippro/nhat9.vip/images/icon-phone74e5.png	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:22	42146/42146	---M--	200	added ('OK')	image/png	etag:%2267516627-a4a2%22	https://nhat9.vip/images/icon-fb.png?v=1.5.6	C:/Users/Administrator/Desktop/vippro/nhat9.vip/images/icon-fb74e5.png	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:22	47127/47127	---M--	200	added ('OK')	image/png	etag:%2267516627-b817%22	https://nhat9.vip/images/icon-tele.png?v=1.5.6	C:/Users/Administrator/Desktop/vippro/nhat9.vip/images/icon-tele74e5.png	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
00:57:23	43028/43028	---M--	200	added ('OK')	image/png	etag:%2267516627-a814%22	https://nhat9.vip/images/icon-livechat.png?v=1.5.6	C:/Users/Administrator/Desktop/vippro/nhat9.vip/images/icon-livechat74e5.png	(from https://nhat9.vip/build/style.min.css?v=4.0.9)
